acc;field;wessely 
abal;Abies alba;Abiesalba
acca;Acer campestre;Acercampestre
acpl;Acer platanoides;Acerplatanoides
acps;Acer pseudoplatanus;Acerpseudoplatanus
aehi;Aesculus hippocastanum;Aesculushippocastanum
algl;Alnus glutinosa;Alnusglutinosa
alin;Alnus incana;Alnusincana
besp;Betula spp.1;Betulapendula
besp;Betula spp.2;Betulapubescens
cabe;Carpinus betulus;Carpinusbetulus
casa;Castanea sativa;Castaneasativa
fasy;Fagus sylvatica;Fagussylvatica
frex;Fraxinus excelsior;Fraxinusexcelsior
fror;Fraxinus ornus;Fraxinusornus
jure;Juglans regia;Juglansregia
lade;Larix decidua;Larixdecidua
osca;Ostrya carpinifolia;Ostryacarpinifolia
piab;Picea abies;Piceaabies
pisy;Pinus sylvestris;Pinussylvestris
posp;Populus spp.1;Populusalba
posp;Populus spp.2;Populuscanescens
posp;Populus spp.3;Populusnigra
potr;Populus tremula;Populustremula
prav;Prunus avium;Prunusavium
quro;Quercus robur_petraea1;Quercuspetraea
quro;Quercus robur_petraea2;Quercusrobur
qusp;Quercus spp.1;Quercuscerris
qusp;Quercus spp.2;Quercuscoccifera
qusp;Quercus spp.3;Quercusfaginea
qusp;Quercus spp.4;Quercusfrainetto
qusp;Quercus spp.5;Quercusilex
qusp;Quercus spp.6;Quercuspubescens
qusp;Quercus spp.7;Quercuspyrenaica
qusp;Quercus spp.8;Quercussuber
sasp;Salix spp.1;Salixalba
sasp;Salix spp.2;Salixfragilis
soar;Sorbus aria;Sorbusaria
soau;Sorbus aucuparia;Sorbusaucuparia
soto;Sorbus torminalis;Sorbustorminalis
taba;Taxus baccata;Taxusbaccata
tisp;Tilia spp.1;Tiliacordata
tisp;Tilia spp.2;Tiliaplatyphyllos
tisp;Tilia spp.3;Tiliatomentosa
ulsp;Ulmus spp.;Ulmusglabra
ulsp;Ulmus spp.;Ulmuslaevis
ulsp;Ulmus spp.;Ulmusminor
