site,species,scenario,occurence_years,overall_presence
11_101,Abiesalba,rcp26,2,0
11_101,Abiesalba,rcp45,1,0
11_101,Abiesalba,rcp85,0,0
11_101,Acercampestre,rcp26,3,0
11_101,Acercampestre,rcp45,5,0
11_101,Acercampestre,rcp85,5,0
11_101,Acerplatanoides,rcp26,0,0
11_101,Acerplatanoides,rcp45,1,0
11_101,Acerplatanoides,rcp85,1,0
11_101,Acerpseudoplatanus,rcp26,8,1
11_101,Acerpseudoplatanus,rcp45,7,0
11_101,Acerpseudoplatanus,rcp85,3,0
11_101,Aesculushippocastanum,rcp26,8,1
11_101,Aesculushippocastanum,rcp45,8,1
11_101,Aesculushippocastanum,rcp85,7,0
11_101,Alnusglutinosa,rcp26,0,0
11_101,Alnusglutinosa,rcp45,0,0
11_101,Alnusglutinosa,rcp85,0,0
11_101,Alnusincana,rcp26,0,0
11_101,Alnusincana,rcp45,0,0
11_101,Alnusincana,rcp85,0,0
11_101,Betulapendula,rcp26,6,0
11_101,Betulapendula,rcp45,3,0
11_101,Betulapendula,rcp85,2,0
11_101,Betulapubescens,rcp26,0,0
11_101,Betulapubescens,rcp45,0,0
11_101,Betulapubescens,rcp85,0,0
11_101,Carpinusbetulus,rcp26,8,1
11_101,Carpinusbetulus,rcp45,8,1
11_101,Carpinusbetulus,rcp85,8,1
11_101,Castaneasativa,rcp26,0,0
11_101,Castaneasativa,rcp45,0,0
11_101,Castaneasativa,rcp85,2,0
11_101,Fagussylvatica,rcp26,8,1
11_101,Fagussylvatica,rcp45,6,0
11_101,Fagussylvatica,rcp85,3,0
11_101,Fraxinusexcelsior,rcp26,8,1
11_101,Fraxinusexcelsior,rcp45,8,1
11_101,Fraxinusexcelsior,rcp85,8,1
11_101,Fraxinusornus,rcp26,0,0
11_101,Fraxinusornus,rcp45,0,0
11_101,Fraxinusornus,rcp85,0,0
11_101,Juglansregia,rcp26,0,0
11_101,Juglansregia,rcp45,1,0
11_101,Juglansregia,rcp85,0,0
11_101,Larixdecidua,rcp26,2,0
11_101,Larixdecidua,rcp45,2,0
11_101,Larixdecidua,rcp85,1,0
11_101,Ostryacarpinifolia,rcp26,0,0
11_101,Ostryacarpinifolia,rcp45,0,0
11_101,Ostryacarpinifolia,rcp85,0,0
11_101,Piceaabies,rcp26,1,0
11_101,Piceaabies,rcp45,1,0
11_101,Piceaabies,rcp85,1,0
11_101,Pinussylvestris,rcp26,0,0
11_101,Pinussylvestris,rcp45,1,0
11_101,Pinussylvestris,rcp85,0,0
11_101,Populusalba,rcp26,6,0
11_101,Populusalba,rcp45,7,0
11_101,Populusalba,rcp85,7,0
11_101,Populuscanescens,rcp26,3,0
11_101,Populuscanescens,rcp45,5,0
11_101,Populuscanescens,rcp85,4,0
11_101,Populusnigra,rcp26,1,0
11_101,Populusnigra,rcp45,2,0
11_101,Populusnigra,rcp85,4,0
11_101,Populustremula,rcp26,4,0
11_101,Populustremula,rcp45,6,0
11_101,Populustremula,rcp85,5,0
11_101,Prunusavium,rcp26,8,1
11_101,Prunusavium,rcp45,8,1
11_101,Prunusavium,rcp85,8,1
11_101,Quercuscerris,rcp26,0,0
11_101,Quercuscerris,rcp45,0,0
11_101,Quercuscerris,rcp85,0,0
11_101,Quercuscoccifera,rcp26,0,0
11_101,Quercuscoccifera,rcp45,0,0
11_101,Quercuscoccifera,rcp85,0,0
11_101,Quercusfaginea,rcp26,0,0
11_101,Quercusfaginea,rcp45,0,0
11_101,Quercusfaginea,rcp85,0,0
11_101,Quercusfrainetto,rcp26,0,0
11_101,Quercusfrainetto,rcp45,0,0
11_101,Quercusfrainetto,rcp85,0,0
11_101,Quercusilex,rcp26,0,0
11_101,Quercusilex,rcp45,0,0
11_101,Quercusilex,rcp85,0,0
11_101,Quercuspetraea,rcp26,8,1
11_101,Quercuspetraea,rcp45,8,1
11_101,Quercuspetraea,rcp85,7,0
11_101,Quercuspubescens,rcp26,0,0
11_101,Quercuspubescens,rcp45,0,0
11_101,Quercuspubescens,rcp85,1,0
11_101,Quercuspyrenaica,rcp26,0,0
11_101,Quercuspyrenaica,rcp45,0,0
11_101,Quercuspyrenaica,rcp85,0,0
11_101,Quercusrobur,rcp26,8,1
11_101,Quercusrobur,rcp45,8,1
11_101,Quercusrobur,rcp85,8,1
11_101,Quercussuber,rcp26,0,0
11_101,Quercussuber,rcp45,0,0
11_101,Quercussuber,rcp85,0,0
11_101,Salixalba,rcp26,0,0
11_101,Salixalba,rcp45,3,0
11_101,Salixalba,rcp85,4,0
11_101,Salixfragilis,rcp26,0,0
11_101,Salixfragilis,rcp45,0,0
11_101,Salixfragilis,rcp85,0,0
11_101,Sorbusaria,rcp26,0,0
11_101,Sorbusaria,rcp45,0,0
11_101,Sorbusaria,rcp85,0,0
11_101,Sorbusaucuparia,rcp26,1,0
11_101,Sorbusaucuparia,rcp45,0,0
11_101,Sorbusaucuparia,rcp85,0,0
11_101,Sorbustorminalis,rcp26,0,0
11_101,Sorbustorminalis,rcp45,1,0
11_101,Sorbustorminalis,rcp85,2,0
11_101,Taxusbaccata,rcp26,0,0
11_101,Taxusbaccata,rcp45,0,0
11_101,Taxusbaccata,rcp85,0,0
11_101,Tiliacordata,rcp26,1,0
11_101,Tiliacordata,rcp45,3,0
11_101,Tiliacordata,rcp85,2,0
11_101,Tiliaplatyphyllos,rcp26,7,0
11_101,Tiliaplatyphyllos,rcp45,7,0
11_101,Tiliaplatyphyllos,rcp85,7,0
11_101,Tiliatomentosa,rcp26,0,0
11_101,Tiliatomentosa,rcp45,0,0
11_101,Tiliatomentosa,rcp85,0,0
11_101,Ulmusglabra,rcp26,1,0
11_101,Ulmusglabra,rcp45,3,0
11_101,Ulmusglabra,rcp85,2,0
11_101,Ulmuslaevis,rcp26,3,0
11_101,Ulmuslaevis,rcp45,6,0
11_101,Ulmuslaevis,rcp85,4,0
11_101,Ulmusminor,rcp26,0,0
11_101,Ulmusminor,rcp45,5,0
11_101,Ulmusminor,rcp85,6,0
11_102,Abiesalba,rcp26,2,0
11_102,Abiesalba,rcp45,1,0
11_102,Abiesalba,rcp85,0,0
11_102,Acercampestre,rcp26,3,0
11_102,Acercampestre,rcp45,5,0
11_102,Acercampestre,rcp85,5,0
11_102,Acerplatanoides,rcp26,0,0
11_102,Acerplatanoides,rcp45,1,0
11_102,Acerplatanoides,rcp85,2,0
11_102,Acerpseudoplatanus,rcp26,8,1
11_102,Acerpseudoplatanus,rcp45,6,0
11_102,Acerpseudoplatanus,rcp85,3,0
11_102,Aesculushippocastanum,rcp26,8,1
11_102,Aesculushippocastanum,rcp45,8,1
11_102,Aesculushippocastanum,rcp85,7,0
11_102,Alnusglutinosa,rcp26,1,0
11_102,Alnusglutinosa,rcp45,0,0
11_102,Alnusglutinosa,rcp85,0,0
11_102,Alnusincana,rcp26,0,0
11_102,Alnusincana,rcp45,0,0
11_102,Alnusincana,rcp85,0,0
11_102,Betulapendula,rcp26,5,0
11_102,Betulapendula,rcp45,3,0
11_102,Betulapendula,rcp85,2,0
11_102,Betulapubescens,rcp26,0,0
11_102,Betulapubescens,rcp45,0,0
11_102,Betulapubescens,rcp85,0,0
11_102,Carpinusbetulus,rcp26,8,1
11_102,Carpinusbetulus,rcp45,8,1
11_102,Carpinusbetulus,rcp85,8,1
11_102,Castaneasativa,rcp26,0,0
11_102,Castaneasativa,rcp45,0,0
11_102,Castaneasativa,rcp85,2,0
11_102,Fagussylvatica,rcp26,8,1
11_102,Fagussylvatica,rcp45,6,0
11_102,Fagussylvatica,rcp85,3,0
11_102,Fraxinusexcelsior,rcp26,8,1
11_102,Fraxinusexcelsior,rcp45,8,1
11_102,Fraxinusexcelsior,rcp85,8,1
11_102,Fraxinusornus,rcp26,0,0
11_102,Fraxinusornus,rcp45,0,0
11_102,Fraxinusornus,rcp85,0,0
11_102,Juglansregia,rcp26,0,0
11_102,Juglansregia,rcp45,1,0
11_102,Juglansregia,rcp85,0,0
11_102,Larixdecidua,rcp26,2,0
11_102,Larixdecidua,rcp45,1,0
11_102,Larixdecidua,rcp85,1,0
11_102,Ostryacarpinifolia,rcp26,0,0
11_102,Ostryacarpinifolia,rcp45,0,0
11_102,Ostryacarpinifolia,rcp85,0,0
11_102,Piceaabies,rcp26,2,0
11_102,Piceaabies,rcp45,1,0
11_102,Piceaabies,rcp85,1,0
11_102,Pinussylvestris,rcp26,0,0
11_102,Pinussylvestris,rcp45,1,0
11_102,Pinussylvestris,rcp85,0,0
11_102,Populusalba,rcp26,6,0
11_102,Populusalba,rcp45,7,0
11_102,Populusalba,rcp85,7,0
11_102,Populuscanescens,rcp26,3,0
11_102,Populuscanescens,rcp45,5,0
11_102,Populuscanescens,rcp85,4,0
11_102,Populusnigra,rcp26,1,0
11_102,Populusnigra,rcp45,2,0
11_102,Populusnigra,rcp85,4,0
11_102,Populustremula,rcp26,4,0
11_102,Populustremula,rcp45,5,0
11_102,Populustremula,rcp85,5,0
11_102,Prunusavium,rcp26,8,1
11_102,Prunusavium,rcp45,8,1
11_102,Prunusavium,rcp85,8,1
11_102,Quercuscerris,rcp26,0,0
11_102,Quercuscerris,rcp45,0,0
11_102,Quercuscerris,rcp85,0,0
11_102,Quercuscoccifera,rcp26,0,0
11_102,Quercuscoccifera,rcp45,0,0
11_102,Quercuscoccifera,rcp85,0,0
11_102,Quercusfaginea,rcp26,0,0
11_102,Quercusfaginea,rcp45,0,0
11_102,Quercusfaginea,rcp85,0,0
11_102,Quercusfrainetto,rcp26,0,0
11_102,Quercusfrainetto,rcp45,0,0
11_102,Quercusfrainetto,rcp85,0,0
11_102,Quercusilex,rcp26,0,0
11_102,Quercusilex,rcp45,0,0
11_102,Quercusilex,rcp85,0,0
11_102,Quercuspetraea,rcp26,8,1
11_102,Quercuspetraea,rcp45,8,1
11_102,Quercuspetraea,rcp85,7,0
11_102,Quercuspubescens,rcp26,0,0
11_102,Quercuspubescens,rcp45,0,0
11_102,Quercuspubescens,rcp85,1,0
11_102,Quercuspyrenaica,rcp26,0,0
11_102,Quercuspyrenaica,rcp45,0,0
11_102,Quercuspyrenaica,rcp85,0,0
11_102,Quercusrobur,rcp26,8,1
11_102,Quercusrobur,rcp45,8,1
11_102,Quercusrobur,rcp85,8,1
11_102,Quercussuber,rcp26,0,0
11_102,Quercussuber,rcp45,0,0
11_102,Quercussuber,rcp85,0,0
11_102,Salixalba,rcp26,0,0
11_102,Salixalba,rcp45,3,0
11_102,Salixalba,rcp85,4,0
11_102,Salixfragilis,rcp26,0,0
11_102,Salixfragilis,rcp45,0,0
11_102,Salixfragilis,rcp85,0,0
11_102,Sorbusaria,rcp26,0,0
11_102,Sorbusaria,rcp45,0,0
11_102,Sorbusaria,rcp85,0,0
11_102,Sorbusaucuparia,rcp26,1,0
11_102,Sorbusaucuparia,rcp45,1,0
11_102,Sorbusaucuparia,rcp85,1,0
11_102,Sorbustorminalis,rcp26,0,0
11_102,Sorbustorminalis,rcp45,0,0
11_102,Sorbustorminalis,rcp85,2,0
11_102,Taxusbaccata,rcp26,0,0
11_102,Taxusbaccata,rcp45,0,0
11_102,Taxusbaccata,rcp85,0,0
11_102,Tiliacordata,rcp26,1,0
11_102,Tiliacordata,rcp45,3,0
11_102,Tiliacordata,rcp85,2,0
11_102,Tiliaplatyphyllos,rcp26,7,0
11_102,Tiliaplatyphyllos,rcp45,7,0
11_102,Tiliaplatyphyllos,rcp85,7,0
11_102,Tiliatomentosa,rcp26,0,0
11_102,Tiliatomentosa,rcp45,0,0
11_102,Tiliatomentosa,rcp85,0,0
11_102,Ulmusglabra,rcp26,2,0
11_102,Ulmusglabra,rcp45,4,0
11_102,Ulmusglabra,rcp85,2,0
11_102,Ulmuslaevis,rcp26,3,0
11_102,Ulmuslaevis,rcp45,6,0
11_102,Ulmuslaevis,rcp85,5,0
11_102,Ulmusminor,rcp26,0,0
11_102,Ulmusminor,rcp45,5,0
11_102,Ulmusminor,rcp85,6,0
11_103,Abiesalba,rcp26,2,0
11_103,Abiesalba,rcp45,1,0
11_103,Abiesalba,rcp85,0,0
11_103,Acercampestre,rcp26,3,0
11_103,Acercampestre,rcp45,5,0
11_103,Acercampestre,rcp85,5,0
11_103,Acerplatanoides,rcp26,0,0
11_103,Acerplatanoides,rcp45,1,0
11_103,Acerplatanoides,rcp85,1,0
11_103,Acerpseudoplatanus,rcp26,8,1
11_103,Acerpseudoplatanus,rcp45,7,0
